NH-02,Ann McLane Kuster,@RepAnnieKuster,,,@RepAnnieKuster
,,,,,
NJ-01,Rob Andrews,@RepAndrews,,,@RepAndrews
,,,,,
NJ-02,Frank LoBiondo,@RepLoBiondo,,,@RepLoBiondo
,,,,,
NJ-03,Jon Runyan,@RepJonRunyan,,,@RepJonRunyan
,,,,,
NJ-04,Christopher Smith,,,,
,,,,,
NJ-05,Scott Garrett,@RepGarrett,,,@RepGarrett
,,,,,
NJ-06,Frank Pallone,@FrankPallone,,,@FrankPallone
,,,,,
NJ-07,Leonard Lance,@RepLanceNJ7,,,@RepLanceNJ7
,,,,,
NJ-08,Bill Pascrell,@BillPascrell,,,@BillPascrell
,,,,,
NJ-10,"Donald Payne, Jr.",,DonaldPayneJr,,@DonaldPayneJr
,,,,,
NJ-11,Rodney Frelinghuysen,,RodneyforNJ,,@RodneyforNJ
,,,,,
NJ-12,Rush D. Holt,@RushHolt,,,@RushHolt
,,,,,
NJ-13,Albio Sires,@Rep_Albio_Sires,,,@Rep_Albio_Sires
,,,,,
NM-01,Michelle Lujan Grisham,@Michelle4NM,,,@Michelle4NM
,,,,,
NM-02,Steve Pearce,@RepStevePearce,,,@RepStevePearce
,,,,,
NM-03,Ben R. Luján,@repbenraylujan,,,@repbenraylujan
,,,,,
NV-01,Dina Titus,@dinatitus,,,@dinatitus
,,,,,
NV-02,Mark Amodei,,@AmodeiNevada,,
,,,,,
NV-03,Joe Heck,@RepJoeHeck,,,@RepJoeHeck
,,,,,
NV-04,Steve Horsford,@RepHorsford,,,@RepHorsford
,,,,,
NY-01,Tim Bishop,@TimBishopNY,,,@TimBishopNY
,,,,,
NY-02,Peter King,@RepPeteKing,,,@RepPeteKing
,,,,,
NY-03,Steve Israel,@RepSteveIsrael,,,@RepSteveIsrael
,,,,,
NY-04,Carolyn McCarthy,@carolynmccarthy,"RepMcCarthyNY is an official congress one, but has been idle for a year and a half",,@carolynmccarthy
,,,,,
NY-05,Gregory Meeks,@GregoryMeeks,,,@GregoryMeeks
,,,,,
NY-06,Grace Meng,@RepGraceMeng,,,@RepGraceMeng
,,,,,
NY-07,Nydia Velázquez,@NydiaVelazquez,,,@NydiaVelazquez
,,,,,
NY-08,Hakeem Jeffries,@RepJeffries,though it seems like TeamJeffries is more active,,@RepJeffries
,,,,,
NY-09,Yvette D. Clarke,@YvetteClarke,,,@YvetteClarke
,,,,,
NY-10,Jerrold Nadler,@RepJerryNadler,,,@RepJerryNadler
,,,,,
NY-11,Michael Grimm,@repmichaelgrimm,,,@repmichaelgrimm
,,,,,
NY-12,Carolyn Maloney,@RepMaloney,,,@RepMaloney
,,,,,
NY-13,Charles B. Rangel,@cbrangel,,,@cbrangel
,,,,,
NY-14,Joe Crowley,@repjoecrowley,,,@repjoecrowley
,,,,,
NY-15,José Serrano,@RepJoseSerrano,,,@RepJoseSerrano
,,,,,
NY-16,Eliot Engel,@RepEliotEngel,,,@RepEliotEngel
,,,,,
NY-17,Nita Lowey,@NitaLowey,,,@NitaLowey
,,,,,
NY-18,Sean Patrick Maloney,@spmaloney,,,@spmaloney
,,,,,
NY-19,Chris Gibson,@RepChrisGibson,,,@RepChrisGibson
,,,,,
NY-20,Paul Tonko,@paultonko,,,@paultonko
,,,,,
NY-21,Bill Owens,@BillOwensNY,,,@BillOwensNY
,,,,,
NY-22,Richard Hanna,@RepRichardHanna,,,@RepRichardHanna
,,,,,
NY-23,Tom Reed,@RepTomReed,,,@RepTomReed
,,,,,
NY-24,Dan Maffei,@DanMaffeiNY,,,@DanMaffeiNY
,,,,,
NY-26,Brian Higgins,@RepBrianHiggins,,,@RepBrianHiggins
,,,,,
NY-27,Chris Collins,@collinsNY27,,,@collinsNY27
,,,,,
NY-28,Louise Slaughter,@louiseslaughter,,,@louiseslaughter
,,,,,
OH-01,Steve Chabot,@RepSteveChabot,,,@RepSteveChabot
,,,,,
OH-02,Brad Wenstrup,@bradwenstrup,,,@bradwenstrup
,,,,,
OH-03,Joyce Beatty,,@JoyceBeatty,,@JoyceBeatty
,,,,,
OH-04,Jim Jordan,@Jim_Jordan,,,@Jim_Jordan
,,,,,
OH-05,Bob Latta,@boblatta,,,@boblatta
,,,,,
OH-06,Bill Johnson,@RepBillJohnson,,,@RepBillJohnson
,,,,,
OH-07,Bob Gibbs,@RepBobGibbs,,,@RepBobGibbs
,,,,,
OH-08,John Boehner,@SpeakerBoehner,also johnboehner,,@SpeakerBoehner
,,,,,
OH-09,Marcy Kaptur,@RepMarcyKaptur,,,@RepMarcyKaptur
,,,,,
OH-10,Michael Turner,@RepMikeTurner,,,@RepMikeTurner
,,,,,
OH-11,Marcia Fudge,@RepMarciaFudge,,,@RepMarciaFudge
,,,,,
OH-12,Patrick Tiberi,,,,
,,,,,
OH-13,Tim Ryan,@RepTimRyan,,,@RepTimRyan
,,,,,
OH-14,David Joyce,@DaveJoyceOH14,,,@DaveJoyceOH14
,,,,,
OH-15,Steve Stivers,@RepSteveStivers,,,@RepSteveStivers
,,,,,
OH-16,Jim Renacci,@RepJimRenacci,,,@RepJimRenacci
,,,,,
OK-01,Jim Bridenstine,@RepJBridenstine,,,@RepJBridenstine
,,,,,
OK-02,Markwayne Mullin,@MarkwayneMullin,,,@MarkwayneMullin
,,,,,
OK-03,Frank Lucas,@FrankDLucas,,,@FrankDLucas
,,,,,
OK-04,Tom Cole,@tomcoleok04,,,@tomcoleok04
,,,,,
OK-05,James Lankford,@RepLankford,,,@RepLankford
,,,,,
OR-01,Suzanne Bonamici,@RepBonamici,,,@RepBonamici
,,,,,
OR-02,Greg Walden,@repgregwalden,,,@repgregwalden
,,,,,
OR-03,Earl Blumenauer,@repblumenauer,,,@repblumenauer
,,,,,
OR-04,Peter DeFazio,@RepPeterDeFazio,,,@RepPeterDeFazio
,,,,,
OR-05,Kurt Schrader,@RepSchrader,,,@RepSchrader
,,,,,
PA-01,Robert Brady,@RepBrady,,,@RepBrady
,,,,,
PA-02,Chaka Fattah,@chakafattah,,,@chakafattah
,,,,,
PA-03,Mike Kelly,@MikeKellyPA,,,@MikeKellyPA
,,,,,
PA-04,Scott Perry,@RepScottPerry,,,@RepScottPerry
,,,,,
PA-05,Glenn Thompson,@CongressmanGT,,,@CongressmanGT
,,,,,
PA-06,Jim Gerlach,@JimGerlach,,,@JimGerlach
,,,,,
PA-07,Pat Meehan,@RepMeehan,,,@RepMeehan
,,,,,
PA-08,Mike Fitzpatrick,@RepFitzpatrick,,,@RepFitzpatrick
,,,,,
PA-09,Bill Shuster,@RepBillShuster,,,@RepBillShuster
,,,,,
PA-10,Tom Marino,@RepTomMarino,,,@RepTomMarino
,,,,,
PA-11,Lou Barletta,@RepLouBarletta,,,@RepLouBarletta
,,,,,
PA-12,Keith Rothfus,@KRPA12,,,@KRPA12
,,,,,
